year_month,product_group,s1_num,s2_num,imports,con_val_mo,s1,s2,gap_s1_s2
2025-03,Chemicals & Plastics,15039696380.506392,1216736759.4302902,238895474760.99106,39434806841,6.295513297417305,3.0854386185689653,3.2100746788483394
2025-03,Electronics & Machinery,67663169994.819855,4856864045.801725,969415787841.3301,95516097331,6.97978832648171,5.084864417115813,1.8949239093658976
2025-03,Energy & Minerals,3146075390.2920594,323159576.3386984,230440839143,19204423994,1.3652421168019455,1.6827350637523026,-0.3174929469503571
2025-03,Food & Agriculture,5357765452.64932,552794184.2032784,209590212589.51923,21994279065,2.5563051759208153,2.5133544162534176,0.0429507596673977
2025-03,Other Manufactured,36588349079.84554,2553654225.8412347,516575918169.5036,74909238296,7.082860000422986,3.4089977203487254,3.673862280074261
2025-03,Pharmaceuticals,1710015144.5265663,93181941.36124632,201275287962.20728,31636939056,0.8495902114161424,0.29453526207547,0.5550549493406725
2025-03,Steel & Aluminum,21481758610.543106,1891371346.5152617,100828992914.44475,9516714777,21.305140505341328,19.87420439547404,1.430936109867286
2025-04,Apparel & Textiles,74164434168.45003,4964626713.826993,144725291139,11989491418,51.24497147994646,41.40815102777025,9.836820452176205
2025-04,Autos & Auto Parts,77586755229.36482,5066263764.510209,384538535836,25682656525,20.176587779606677,19.726400808960744,0.4501869706459338
2025-04,Chemicals & Plastics,50585098565.54744,3947850453.122388,239282977406.1904,22757976205,21.140282987902495,17.347106867327827,3.7931761205746675
2025-04,Electronics & Machinery,193856470952.21188,14226500849.722578,968377334614.0415,89170033009,20.01869147727169,15.954351893406486,4.064339583865205
2025-04,Energy & Minerals,3803393162.523353,301751522.944687,230215066389,17622071124,1.652104365791884,1.7123499322036162,-0.06024556641173229
2025-04,Food & Agriculture,20763146854.029556,1916952678.702034,210346172456.05765,20361324299,9.870941130800505,9.414675836169364,0.45626529463114096
2025-04,Other Manufactured,145314459065.53598,9560350729.607656,508786428212.13916,55977465641,28.560993573701797,17.07892742218986,11.482066151511937
2025-04,Pharmaceuticals,2677859242.641276,156206754.39324576,201303051951.29675,21284276856,1.330262614840612,0.7339067963176364,0.5963558185229756
2025-04,Steel & Aluminum,29272659360.232193,2209448790.7943025,99577823052.70079,7901487485,29.396765728389006,27.962441185772533,1.4343245426164728
2025-05,Apparel & Textiles,60194816514.98283,3252643445.9681377,144631781785,10263643335,41.6193562521856,31.690924360907147,9.92843189127845
2025-05,Autos & Auto Parts,77259445907.74384,5580054162.148511,384849439198,29465567346,20.075239311442743,18.9375418997524,1.1376974116903433
2025-05,Chemicals & Plastics,42950404822.35033,2963687079.7767243,235627530010.6292,25192245126,18.228092795613833,11.764283274292257,6.463809521321576
2025-05,Electronics & Machinery,159657866431.75177,10008397774.35678,968085416426.4562,90835847397,16.492125975939718,11.018114611310734,5.474011364628984
2025-05,Energy & Minerals,3703963303.795146,316661860.29986805,229890269039,18495985934,1.6111875110149978,1.7120572076007505,-0.10086969658575273
2025-05,Food & Agriculture,19862247851.24841,1782603430.2511761,210782078822.30405,20446022399,9.4231198222468,8.718582986284716,0.7045368359620845
2025-05,Other Manufactured,115576553191.01495,6402437919.549362,504277855640.25195,51948325020,22.919220405638114,12.324628209060515,10.594592196577599
2025-05,Pharmaceuticals,2456138698.7412705,133407686.59370744,201180292909.4164,18832904931,1.2208644610370327,0.7083755112792559,0.5124889497577768
2025-05,Steel & Aluminum,29173483769.073715,2186005137.25978,99813461682.58961,7923487403,29.228005198183027,27.588926770201113,1.6390784279819144
2025-06,Apparel & Textiles,40177170838.39401,2868864021.471846,144677233752,11408122411,27.770209449307092,25.14755643492758,2.6226530143795124
2025-06,Autos & Auto Parts,77032640630.86923,5098745044.341255,383850605757,27158702098,20.06839105514801,18.773890688674452,1.2945003664735566
2025-06,Chemicals & Plastics,29532068414.803864,2051605588.7679372,233837167477.4047,18597946332,12.629330372665201,11.031355570899263,1.5979748017659379
2025-06,Electronics & Machinery,120682255101.34286,7316318232.679826,966994694557.7805,91025073633,12.480136217968854,8.037695483969799,4.442440733999055
2025-06,Energy & Minerals,3671768213.721489,279773989.051322,230034719435,17739449409,1.5961800126258794,1.5771289322507402,0.01905108037513914
2025-06,Food & Agriculture,16567543333.624577,1550765532.1185641,208044133212.295,19365399197,7.9634753827537725,8.007919260238134,-0.04444387748436185
2025-06,Other Manufactured,72429502995.34215,4416653639.313991,505885411923.73303,50678705659,14.317373319763089,8.715008763310118,5.6023645564529705
2025-06,Pharmaceuticals,2067255370.0115457,96916597.93976167,203117548262.2047,14903733245,1.0177630577457162,0.6502840351914906,0.3674790225542256
2025-06,Steel & Aluminum,48900988817.579544,3415895716.8733683,99633501533.32608,7443067979,49.0808694515497,45.89365200628336,3.1872174452663415
2025-07,Apparel & Textiles,40231104194.60346,3494281889.066702,144958734956,13330692195,27.75348736784644,26.212306442551554,1.541180925294885
2025-07,Autos & Auto Parts,75915285219.90582,4998397100.62683,384383599059,26085960119,19.749876270931473,19.16125409156856,0.5886221793629147
2025-07,Chemicals & Plastics,29719759252.46109,2494829861.9544454,233092756694.37326,19653357380,12.750185665970337,12.694166262367359,0.056019403602977746
2025-07,Electronics & Machinery,120309853307.3982,8830631290.809303,966731446187.9469,99342446826,12.445012912511402,8.889081729863475,3.5559311826479263
2025-07,Energy & Minerals,3621772505.112353,310677323.3940073,226114296853,18960058433,1.6017441424621268,1.6385884278356082,-0.03684428537348139
2025-07,Food & Agriculture,16776957410.549734,1709051614.2385483,207539665379.10025,20004950335,8.083735405424438,8.543143500078818,-0.45940809465438015
2025-07,Other Manufactured,72695070042.89267,5883848103.263979,506389161406.1601,67588501386,14.355573851744834,8.705398081932817,5.650175769812018
2025-07,Pharmaceuticals,2065156745.1723888,101318700.2906127,202722167074.07193,15684511318,1.0187128398335485,0.6459793246751425,0.372733515158406
2025-07,Steel & Aluminum,50885186128.52565,3613878668.41235,99024482512.26628,7503039416,51.386470130982445,48.16552956800234,3.220940562980104
2025-08,Apparel & Textiles,46509378610.59744,4012520122.436848,144837584821,12848877484,32.1114016559147,31.228565510360095,0.8828361455546023
2025-08,Autos & Auto Parts,77792013830.212,5161265025.243046,383591077798,26324703391,20.27993306746761,19.606165921731147,0.6737671457364627
2025-08,Chemicals & Plastics,33908799195.329483,2649057942.1034036,214747277712.15677,18278702281,15.790095016142743,14.492593081167454,1.2975019349752888
2025-08,Electronics & Machinery,139225609798.40836,9634004068.866814,964312377856.0706,93429810296,14.437812164969287,10.311488419322279,4.126323745647008
2025-08,Energy & Minerals,3930736216.9141335,359226376.60906166,228815824982,18271415848,1.717860299751273,1.9660565968038148,-0.24819629705254176
2025-08,Food & Agriculture,22269155663.771835,1962826986.345751,203018290687.43103,17344367394,10.96903908922061,11.316797792375862,-0.34775870315525204
2025-08,Other Manufactured,91857807092.10406,6611210169.7055235,498586101603.9927,51816811410,18.42365978445647,12.758813191715696,5.664846592740773
2025-08,Pharmaceuticals,4591714797.025451,371206433.36165583,197058406408.4265,13209035419,2.3301288591102205,2.8102463320501743,-0.48011747293995377
2025-08,Steel & Aluminum,51306785078.41901,3368338471.206484,99117123145.87871,6911659167,51.76379564901884,48.73415181247296,3.0296438365458798
2025-09,Apparel & Textiles,50150900132.82339,4136723826.624984,144858919365,12509707436,34.62051239417196,33.068110088014244,1.5524023061577168
2025-09,Autos & Auto Parts,74852561932.84651,4733222792.823386,383301921242,25453890994,19.528355529840375,18.59528193131299,0.9330735985273861
2025-09,Chemicals & Plastics,36010575488.85816,2637294664.1815434,230771600066.60056,30859865271,15.60442250193071,8.54603427792633,7.05838822400438
2025-09,Electronics & Machinery,145147385509.90393,10045915361.549822,964095015046.4211,94821676188,15.055298828914191,10.594534673308344,4.4607641556058475
2025-09,Energy & Minerals,4065618492.9584184,326410459.02448714,231459513318,18149623999,1.7565138864578465,1.7984419899964403,-0.041928103538593886
2025-09,Food & Agriculture,24832040101.455204,2072265487.4463131,208285512192.64713,17304855008,11.922115868763637,11.975052587775563,-0.052936719011926314
2025-09,Other Manufactured,96944591646.90689,6549588254.328159,507276191965.549,54651212420,19.11081047807005,11.984342092896169,7.126468385173881
2025-09,Pharmaceuticals,8728292848.693808,887135025.5356051,201036300763.1986,16876609093,4.34165014753972,5.256595212029689,-0.9149450644899693
2025-09,Steel & Aluminum,51237613928.71643,3251288201.7209578,98352820703.44304,6683075480,52.0957239073091,48.64958074244222,3.446143164866882
2025-10,Apparel & Textiles,50117637486.47235,3584679287.8750687,144785240574,11028915733,34.615156412201515,32.50255396502148,2.1126024471800378
2025-10,Autos & Auto Parts,66855616000.4471,4521202901.48306,383640691881,27222587573,17.426622726763505,16.60827755392105,0.8183451728424558
2025-10,Chemicals & Plastics,35525189577.539215,2519738557.567148,232547914983.17935,17445026316,15.276503158546411,14.443879372403856,0.8326237861425554
2025-10,Electronics & Machinery,139610799992.60245,9731121092.36493,964602750894.3981,108058887433,14.47339849105268,9.005387084332641,5.46801140672004
2025-10,Energy & Minerals,4014519408.7730603,266679242.89762306,228938385451,17010898442,1.7535370492216096,1.5676964024380426,0.18584064678356693
2025-10,Food & Agriculture,24662131516.15808,2012010563.1447415,208749850890.74063,17581350560,11.81420317711566,11.444004579047204,0.37019859806845545
2025-10,Other Manufactured,95324275158.48,6347467916.711799,514600456200.7149,55402502434,18.52393910846043,11.45700579910343,7.066933309356999
2025-10,Pharmaceuticals,8238109481.458769,718580316.6056691,198704988836.3488,14665903025,4.1458996725258785,4.899666357951178,-0.7537666854252993
2025-10,Steel & Aluminum,50845125517.32874,3312027346.8219886,97974005153.5235,6856432649,51.89654688267091,48.30540189591219,3.591144986758721
2025-11,Apparel & Textiles,46996810268.55604,2983226734.9661865,144573583119,9680362552,32.507190632380244,30.817303783212544,1.6898868491676993
2025-11,Autos & Auto Parts,70623608948.24817,4470693574.343049,384031025463,25213117142,18.390078995076532,17.73161782878393,0.6584611662926037
2025-11,Chemicals & Plastics,32456478570.515438,2152997762.4990764,233074796953.8888,16122610977,13.92534885568798,13.3539025755225,0.57144628016548
2025-11,Electronics & Machinery,123773193236.028,8388460326.652903,962240950920.1614,101549028331,12.863014520185148,8.260502798028394,4.602511722156754
2025-11,Energy & Minerals,3778950733.727991,265729075.93602028,222068735848,14812733052,1.7017031773056877,1.7939233428644137,-0.09222016555872603
2025-11,Food & Agriculture,20867571304.272667,1633922576.29462,208684522476.6496,17193504386,9.999577858778487,9.503138741308954,0.4964391174695333
2025-11,Other Manufactured,87679614510.8162,5442204902.566465,509724966637.10144,51462536565,17.201357643766286,10.575080953681057,6.626276690085229
2025-11,Pharmaceuticals,7731506369.255584,770605451.3016533,199827782808.8337,15506168198,3.869084799210313,4.969670401234566,-1.1005856020242533
2025-11,Steel & Aluminum,49492994979.27054,3021387834.811326,96871435564.62343,6268680086,51.09142307099754,48.19815006286677,2.8932730081307696
2025-12,Apparel & Textiles,45933024953.98486,3280183643.1278925,144750734235,10768244203,31.732498765369638,30.461638696994292,1.2708600683753453
2025-12,Autos & Auto Parts,66685032012.944176,4623584176.265573,384822457306,26978948307,17.328778699606428,17.13774800875366,0.19103069085276658
2025-12,Chemicals & Plastics,31002764535.55027,2190702328.6907086,233140268644.5753,16914205712,13.297902038027717,12.951848676739736,0.34605336128798037
2025-12,Electronics & Machinery,117297817568.09955,8384128930.586056,964532200260.28125,107253245030,12.161109555123868,7.817133111675004,4.343976443448865
2025-12,Energy & Minerals,3941987890.831037,384611027.3464429,225052156364,18380669468,1.7515885892936103,2.092475619650498,-0.3408870303568876
2025-12,Food & Agriculture,18466536468.84753,1539475185.2963164,204983922789.26334,18035539996,9.00877308696659,8.535786484007398,0.4729866029591925
2025-12,Other Manufactured,83529469633.01909,5485528479.212398,511053708270.6893,57702443362,16.34455797526003,9.50657920115892,6.837978774101112
2025-12,Pharmaceuticals,7833195920.183899,708970208.8850446,201182679907.87784,15589743802,3.8935737031491695,4.547670685865224,-0.6540969827160548
2025-12,Steel & Aluminum,48866216421.31029,3148293942.809543,96679936192.76688,6560177468,50.54432009954743,47.990987411036656,2.553332688510771
2026-01,Apparel & Textiles,46492919694.80206,3539775777.0563936,144508758353,11121205297,32.17308087391568,31.829066027683762,0.3440148462319179
2026-01,Autos & Auto Parts,65869761507.46961,3950799576.4811397,383489635977,23092885085,17.176412431500545,17.108297910542948,0.06811452095759662
2026-01,Chemicals & Plastics,31758902935.234715,2243109780.9436197,232756105775.85352,16805087357,13.644713134107365,13.347801967892023,0.29691116621534164
2026-01,Electronics & Machinery,121513957276.3272,8148732501.649663,963122140189.592,102939910347,12.616671573182503,7.916008935874445,4.700662637308057
2026-01,Energy & Minerals,4050822363.2180057,473932333.88185775,226281987378,17520413828,1.7901656292470065,2.7050293362617355,-0.914863707014729
2026-01,Food & Agriculture,18555359747.654144,1531371237.3582153,206215889151.75894,18483231340,8.998026206408777,8.285192178729801,0.7128340276789764
2026-01,Other Manufactured,83791668126.4957,5180701441.692418,502091055419.6705,50724548233,16.688540300017657,10.213400852571803,6.475139447445853
2026-01,Pharmaceuticals,7819327957.075382,606147398.3901294,199849162751.25562,11788405626,3.912614818811021,5.141894651582373,-1.2292798327713519
2026-01,Steel & Aluminum,48802813942.85432,3306586356.116264,96366753299.83153,6935476257,50.64279149367133,47.67641375426691,2.9663777394044217
2026-02,Apparel & Textiles,38703027935.16085,2640074969.009376,144375474347,10318383591,26.80720400068772,25.58612931692254,1.2210746837651776
2026-02,Autos & Auto Parts,64213762639.46953,3659741579.6044173,381433920859,22476498127,16.83483275290732,16.28252568049351,0.5523070724138108
2026-02,Chemicals & Plastics,26071825742.706272,1690793649.0542157,233241675486.62598,16599951470,11.17803055063426,10.18553368731153,0.9924968633227298
2026-02,Electronics & Machinery,102431719002.8623,6397612519.240042,962219162386.5033,98046033883,10.645362616642384,6.525110976823827,4.120251639818557
2026-02,Energy & Minerals,2926953741.7420626,330697225.8510522,223577007103,16755259295,1.3091479216347324,1.9736920809678953,-0.6645441593331629
2026-02,Food & Agriculture,14919023098.147112,1108749894.1062531,206380713270.0428,17209936709,7.228884357341101,6.442498382497992,0.7863859748431086
2026-02,Other Manufactured,66734321171.73662,4107438942.282212,508591566180.75684,51322549784,13.12139752392567,8.003185655368046,5.1182118685576246
2026-02,Pharmaceuticals,3617841970.696685,908279158.4674432,184196063325.89697,11208992982,1.964125565645591,8.103128978009053,-6.139003412363462
2026-02,Steel & Aluminum,48446413335.06315,3079447140.428648,96926021072.83162,6625200562,49.9828764235146,46.48081385024564,3.502062573268958
2026-03,Apparel & Textiles,32325870854.032997,2370248355.798197,144559503435,11120256913,22.36163661738646,21.3146906077978,1.046946009588659
2026-03,Autos & Auto Parts,62342341738.90053,4668973317.550197,380749328268,29472492046,16.37359204873483,15.841800246355037,0.5317918023797947
2026-03,Chemicals & Plastics,21631695442.799698,1632998590.8826008,237207131320.68503,19842908323,9.119327619857845,8.229633299216452,0.889694320641393
2026-03,Electronics & Machinery,74084949524.81047,5547835450.608412,966150121529.598,121113200835,7.6680577763132725,4.580702526528525,3.087355249784747
2026-03,Energy & Minerals,1339713472.092337,150582624.72092032,222161926789,19023978146,0.6030346835102579,0.7915411990345561,-0.1885065155242982
2026-03,Food & Agriculture,12634463651.560726,1184085622.7603295,211216199514.84033,20301255869,5.981768292669716,5.832573267392916,0.14919502527679995
2026-03,Other Manufactured,52157860080.776474,3631621363.691658,512763956592.0549,56589138677,10.17190452063546,6.417523660185498,3.7543808604499613
2026-03,Pharmaceuticals,3054892559.823523,963420662.6450373,183405866708.2052,13840928664,1.665646042110415,6.960664894913278,-5.295018852802864
2026-03,Steel & Aluminum,47424111859.164696,3619541437.2768598,97281775754.2791,7862250801,48.74922511586521,46.03696230113252,2.7122628147326893
